%ID;MAG1;MAG2;MAG3;ACS1;ACS2;AKS3;GYRO1;GYRO2;GYRO3;HH;MM;SS;MS


22198;587;621;536;523;539;277;457;346;437;11;08;50;683
22199;586;621;537;517;533;280;457;346;438;11;08;50;703
22200;587;621;536;518;539;275;457;346;438;11;08;50;723
22201;586;621;536;513;541;278;457;346;438;11;08;50;743
22202;586;621;536;514;539;277;457;346;438;11;08;50;763
22203;587;621;536;518;539;279;457;346;438;11;08;50;783
22204;586;621;535;519;540;277;457;346;438;11;08;50;803
22205;586;621;536;517;538;278;457;346;438;11;08;50;823
22206;586;621;536;516;540;278;457;346;438;11;08;50;843
22207;586;621;537;514;538;277;457;345;437;11;08;50;863
22208;587;621;536;517;537;279;457;346;438;11;08;50;883
22209;586;621;536;517;541;278;457;346;438;11;08;50;903
22210;586;621;536;514;540;279;457;346;438;11;08;50;923
22211;586;621;536;521;539;278;457;346;438;11;08;50;933
22212;586;621;536;520;538;278;457;346;438;11;08;50;963
22213;587;621;536;519;536;278;457;346;438;11;08;50;983
22214;587;620;536;517;539;275;457;346;438;11;08;50;993
22215;587;621;536;518;542;277;457;346;438;11;08;51;033
22216;586;622;537;515;540;277;457;346;438;11;08;51;043
22217;587;621;536;520;538;277;457;346;438;11;08;51;053
22218;587;621;536;519;540;274;457;346;438;11;08;51;083
22219;586;621;536;521;539;278;457;346;438;11;08;51;103
22220;586;621;536;516;536;277;457;346;438;11;08;51;123
22221;586;621;537;517;537;280;457;346;438;11;08;51;133
22222;586;621;536;515;542;277;457;346;438;11;08;51;163
22223;587;621;536;520;541;278;457;346;438;11;08;51;183
22224;586;621;536;510;537;276;457;345;438;11;08;51;203
22225;585;621;536;517;537;276;457;345;437;11;08;51;223
22226;586;620;536;509;535;278;456;346;437;11;08;51;243
22227;586;621;536;521;537;280;457;346;438;11;08;51;253
22228;586;621;536;513;541;279;457;346;438;11;08;51;283
22229;586;621;536;517;539;276;457;346;438;11;08;51;303
22230;586;621;535;515;536;278;457;346;438;11;08;51;313
22231;587;621;536;517;536;276;457;346;438;11;08;51;343
22232;586;620;536;518;539;275;457;346;438;11;08;51;363
22233;586;621;537;517;538;277;457;346;438;11;08;51;383
22234;587;621;536;520;536;275;457;346;438;11;08;51;403
22235;586;621;536;519;539;274;457;345;438;11;08;51;423
22236;586;621;536;516;540;275;457;346;438;11;08;51;443
22237;586;621;536;517;541;279;457;345;437;11;08;51;463
22238;586;621;536;517;541;278;457;347;438;11;08;51;483
22239;586;621;536;516;537;279;457;346;438;11;08;51;493
22240;586;621;536;517;540;277;457;347;437;11;08;51;533
22241;586;620;536;515;537;279;457;346;438;11;08;51;543
22242;585;621;535;517;535;275;457;346;437;11;08;51;563
22243;586;621;536;519;539;278;457;346;438;11;08;51;583
22244;586;621;536;520;539;277;457;346;438;11;08;51;603
22245;586;621;536;520;539;279;457;346;437;11;08;51;623
22246;586;620;536;516;536;276;457;346;438;11;08;51;643
22247;586;621;535;517;537;277;457;346;438;11;08;51;663
22248;586;621;535;520;538;274;457;346;438;11;08;51;683
22249;585;621;536;518;539;277;457;346;438;11;08;51;703
22250;586;621;536;518;536;277;457;346;438;11;08;51;723
22251;587;621;536;521;537;277;457;346;438;11;08;51;743
22252;585;621;536;519;537;276;457;346;438;11;08;51;763
22253;586;621;536;517;536;280;457;346;438;11;08;51;783
22254;584;621;536;521;539;280;457;346;438;11;08;51;803
22255;587;621;536;516;537;278;457;346;438;11;08;51;823
22256;585;622;536;518;539;277;457;346;438;11;08;51;843
22257;584;621;537;515;537;280;457;346;438;11;08;51;863
22258;587;621;536;517;536;276;457;346;438;11;08;51;883
22259;585;621;536;517;539;278;457;346;438;11;08;51;903
22260;586;621;536;516;538;279;457;346;438;11;08;51;923
22261;587;621;536;518;536;276;457;346;438;11;08;51;943
22262;585;621;537;517;537;276;457;346;438;11;08;51;953
22263;587;621;536;519;539;277;457;346;438;11;08;51;983
22264;587;621;536;519;538;279;457;346;438;11;08;52;003
22265;586;621;536;517;541;276;457;346;438;11;08;52;023
22266;586;621;536;515;537;282;457;345;438;11;08;52;043
22267;586;621;536;515;537;275;457;346;438;11;08;52;063
22268;585;621;536;517;535;277;457;346;438;11;08;52;083
