%ID;MAG1;MAG2;MAG3;ACC1;ACC2;ACC3;GYRO1;GYRO2;GYRO3;HH;MM;SS;MS


31089;594;610;532;525;540;279;457;343;438;11;11;48;515
31090;595;611;532;522;539;277;457;343;438;11;11;48;535
31091;594;611;532;520;540;274;457;344;438;11;11;48;565
31092;595;611;532;523;537;275;457;344;438;11;11;48;585
31093;594;612;532;523;541;277;457;343;438;11;11;48;605
31094;595;612;532;524;542;274;457;344;438;11;11;48;625
31095;595;612;532;524;541;277;457;344;438;11;11;48;645
31096;595;612;532;524;541;280;457;343;438;11;11;48;665
31097;595;611;532;523;540;280;457;343;438;11;11;48;675
31098;594;612;532;521;537;279;457;343;438;11;11;48;695
31099;594;612;532;520;539;278;457;343;438;11;11;48;715
31100;595;612;532;527;541;278;457;343;438;11;11;48;735
31101;594;611;532;522;541;278;457;343;438;11;11;48;755
31102;594;612;532;524;538;279;458;343;437;11;11;48;775
31103;594;612;532;523;541;275;457;343;438;11;11;48;805
31104;594;611;532;519;539;278;458;344;438;11;11;48;815
31105;595;612;532;524;538;275;457;343;438;11;11;48;835
31106;595;611;532;522;540;274;457;344;438;11;11;48;855
31107;594;612;532;521;540;278;457;343;438;11;11;48;885
31108;595;611;532;522;540;279;457;343;438;11;11;48;895
31109;595;612;532;523;539;275;457;343;437;11;11;48;925
31110;594;611;532;521;541;278;457;343;437;11;11;48;935
31111;595;611;531;520;540;277;457;344;438;11;11;48;955
31112;595;611;532;521;540;279;457;344;438;11;11;48;975
31113;595;612;532;524;537;277;457;343;437;11;11;48;995
31114;594;611;532;520;539;277;457;344;438;11;11;49;015
31115;594;612;531;522;537;278;457;343;438;11;11;49;035
31116;595;612;531;523;539;276;458;343;437;11;11;49;055
31117;594;610;533;525;542;273;457;344;438;11;11;49;075
31118;595;612;532;523;539;277;457;344;438;11;11;49;095
31119;595;612;532;523;540;279;457;343;437;11;11;49;115
31120;594;611;532;522;539;279;457;343;438;11;11;49;145
31121;595;611;532;524;542;279;457;343;438;11;11;49;155
