%ID;MAG1;MAG2;MAG3;ACC1;ACC2;ACC3;GYRO1;GYRO2;GYRO3;HH;MM;SS;MS


18564;573;597;565;344;358;535;457;339;437;11;18;33;418
18565;573;597;565;340;357;536;458;339;437;11;18;33;438
18566;573;597;565;344;357;535;457;340;438;11;18;33;458
18567;574;597;563;341;357;532;457;339;437;11;18;33;478
18568;573;597;564;344;354;534;458;339;437;11;18;33;498
18569;573;597;565;344;355;533;457;340;437;11;18;33;518
18570;572;597;564;341;355;537;457;340;437;11;18;33;538
18571;573;598;565;344;359;534;457;340;438;11;18;33;558
18572;572;597;565;341;357;535;457;340;437;11;18;33;578
18573;573;598;566;343;356;535;457;339;437;11;18;33;598
18574;573;599;565;345;356;534;458;340;437;11;18;33;618
18575;572;598;565;346;360;536;457;339;437;11;18;33;638
18576;573;598;564;346;359;534;457;339;437;11;18;33;658
18577;573;598;565;348;357;536;457;339;437;11;18;33;678
18578;573;597;564;343;356;539;457;340;437;11;18;33;698
18579;572;597;565;345;354;536;457;340;437;11;18;33;718
18580;573;597;565;343;359;534;457;340;437;11;18;33;738
18581;573;597;564;344;357;537;457;339;437;11;18;33;758
18582;572;597;565;343;358;533;457;339;437;11;18;33;778
18583;573;597;565;345;357;531;457;339;437;11;18;33;798
18584;573;598;564;342;359;540;458;340;437;11;18;33;818
18585;572;598;565;345;358;534;457;339;437;11;18;33;838
18586;573;598;565;344;358;536;457;340;437;11;18;33;858
18587;573;598;565;345;355;534;457;340;437;11;18;33;878
18588;573;597;565;342;358;536;457;340;437;11;18;33;898
18589;573;598;565;342;354;539;457;340;437;11;18;33;918
18590;572;598;564;341;355;538;457;340;438;11;18;33;938
18591;571;598;565;345;360;535;457;340;437;11;18;33;978
18592;572;597;565;341;357;538;457;340;437;11;18;33;998
18593;572;597;565;344;359;536;457;339;437;11;18;34;008
18594;572;597;564;343;356;535;458;340;437;11;18;34;018
18595;573;597;564;344;356;534;457;340;437;11;18;34;038
18596;571;598;565;344;357;536;457;339;436;11;18;34;058
18597;572;597;564;344;360;532;457;340;437;11;18;34;078
18598;573;597;566;339;357;536;457;340;437;11;18;34;098
18599;572;598;565;344;360;536;457;339;437;11;18;34;118
18600;572;598;565;340;358;538;457;339;437;11;18;34;138
18601;574;598;565;342;359;534;457;339;437;11;18;34;158
18602;573;597;565;340;358;537;457;339;437;11;18;34;178
18603;573;597;565;344;359;537;457;340;437;11;18;34;198
18604;572;597;565;344;354;538;457;340;437;11;18;34;218
18605;572;597;565;342;358;537;458;340;437;11;18;34;238
18606;573;597;565;345;359;534;457;339;437;11;18;34;258
18607;573;598;565;340;359;530;457;340;437;11;18;34;278
18608;572;597;565;343;355;536;458;340;437;11;18;34;298
18609;573;597;565;347;354;537;458;339;437;11;18;34;318
18610;572;597;565;343;357;532;457;339;437;11;18;34;338
18611;572;598;565;342;355;535;457;340;438;11;18;34;358
18612;572;598;564;344;357;536;457;340;438;11;18;34;378
18613;573;597;565;342;360;535;457;339;437;11;18;34;398
18614;572;597;565;345;360;536;457;340;438;11;18;34;418
18615;572;597;565;345;356;534;457;340;438;11;18;34;438
18616;573;598;565;344;357;534;457;339;437;11;18;34;458
18617;573;597;565;345;354;534;457;340;438;11;18;34;478
18618;573;597;565;344;360;534;457;339;438;11;18;34;498
